AreaSQFT,BuildingType,Trade,Complexity,Days
128000,School,Lighting,2.5,5.40
43000,Hotel,Mech. Pipe,2.5,4.32
100000,School,Sanitary & Storm,2.5,11.35
245212,Warehouse / Supermarket,Fire Alarm,2.5,1.08
40500,Government,Power,2.5,4.86
61000,School,Mech. Duct,2.5,11.35
61000,School,Domestic water,2.5,5.89
61000,School,Telecomm,2.5,3.24
36127,Healthcare,Lighting,2.5,3.51
37790,Industrial,Power,2.5,4.32
45213,College / University,Lighting,2.5,2.16
67000,Healthcare,Power,2.5,8.10
115000,School,Telecomm,2.5,3.78
10886,Other Commercial,Mech. Pipe,2.5,4.32
25000,College / University,Sanitary & Storm,2.5,3.78
17500,College / University,Lighting,2.5,1.62
25878,Government,Sanitary & Storm,2.5,5.94
40000,Office Building,Mech. Pipe,2.5,4.86
222000,Parking,Power,2.5,7.56
86300,Hotel,Mech. Duct,2.5,11.56
12490,Other Educational,Sanitary & Storm,2.5,6.48
47000,Healthcare,Fire Alarm,2.5,1.08
110982,School,Mech. Duct,2.5,15.13
110982,School,Lighting,2.5,4.86
730000,Residential,Lighting,2.5,13.51
43100,Military,Lighting,2.5,2.16
95000,Government,Lighting,2.5,4.86
139000,School,Lighting,2.5,5.94
73000,Government,Lighting,2.5,3.78
54000,Industrial,Domestic water,2.5,5.13
175000,Industrial,Domestic water,2.5,14.05
8248,Government,Mech. Duct,2.5,4.86
8248,Government,Domestic water,2.5,3.24
38000,Residential,Domestic water,2.5,8.10
52186,Office Building,Power,2.5,5.94
520000,Residential,Telecomm,2.5,4.59
30000,Government,Power,2.5,4.05
130150,Industrial,Mech. Pipe,2.5,12.97
41000,College / University,Sanitary & Storm,2.5,5.40
24000,Office Building,Lighting,2.5,3.78
158000,School,Mech. Pipe,2.5,10.27
79340,Healthcare,Mech. Duct,2.5,14.05
79340,Healthcare,Mech. Pipe,2.5,6.48
11800,Industrial,Lighting,2.5,1.62
35000,Industrial,Lighting,2.5,2.16
79000,Government,Power,2.5,7.56
130000,Warehouse / Supermarket,Fire Alarm,2.5,1.08
23900,Healthcare,Medical Gas,2.5,2.16
18700,Warehouse / Supermarket,Mech. Pipe,2.5,4.86
18700,Warehouse / Supermarket,Power,2.5,4.32
70000,Residential,Power,2.5,8.64
39971,Healthcare,Power,2.5,7.83
308000,School,Lighting,2.5,11.35
104094,School,Lighting,2.5,4.86
159906,Other Commercial,Mech. Duct,2.5,11.89
159906,Other Commercial,Mech. Pipe,2.5,5.94
208833,Office Building,Mech. Pipe,2.5,7.02
208833,Office Building,Domestic water,2.5,7.02
208833,Office Building,Lighting,2.5,4.86
33000,School,Domestic water,2.5,4.86
33000,School,Telecomm,2.5,2.70
115000,School,Telecomm,2.5,3.78
225230,Other Commercial,Mech. Duct,2.5,14.37
124000,School,Mech. Pipe,2.5,8.64
65000,School,Sanitary & Storm,2.5,8.64
61800,Other Commercial,Domestic water,2.5,5.40
48169,Healthcare,Domestic water,2.5,5.40
120000,Office Building,Lighting,2.5,4.32
40000,Government,Fire Alarm,2.5,1.08
25000,Government,Mech. Pipe,2.5,3.24
245000,School,Mech. Pipe,2.5,15.13
245000,School,Sanitary & Storm,2.5,23.77
342000,School,Mech. Duct,2.5,32.42
17500,School,Power,2.5,4.86
685551,Office Building,Sanitary & Storm,2.5,17.83
23600,School,Power,2.5,4.86
87250,Residential,Sanitary & Storm,2.5,14.05
17800,Government,Mech. Duct,2.5,5.40
17800,Government,Mech. Pipe,2.5,2.97
17800,Government,Power,2.5,3.24
69500,School,Sanitary & Storm,2.5,8.64
45000,College / University,Sanitary & Storm,2.5,5.67
87075,Government,Domestic water,2.5,6.48
25000,Government,Mech. Pipe,2.5,3.24
25000,Government,Power,2.5,3.78
154000,School,Sanitary & Storm,2.5,15.94
154000,School,Domestic water,2.5,10.81
60827,School,Mech. Duct,2.5,11.35
154000,School,Sanitary & Storm,2.5,15.94
154000,School,Domestic water,2.5,10.81
28602,College / University,Mech. Pipe,2.5,3.24
42000,Other Commercial,Mech. Duct,3,7.07
27619,College / University,AV /Wireless,3,0.40
114000,School,Mech. Duct,3,16.00
77985,College / University,AV /Wireless,3,1.60
120000,Healthcare,Power,3,9.60
26946,School,Power,3,5.33
145850,School,Mech. Pipe,3,10.67
28321,Transport,Power,3,3.20
65000,Military,Mech. Pipe,3,5.33
76545,School,Mech. Duct,3,13.33
76545,School,Mech. Pipe,3,6.40
76545,School,Lighting,3,4.27
66980,College / University,Mech. Duct,3,11.20
178000,Healthcare,Domestic water,3,20.00
21145,School,Mech. Pipe,3,3.20
68500,School,AV /Wireless,3,1.60
252000,School,Domestic water,3,17.07
265000,Parking,Telecomm,3,2.67
107000,School,Sanitary & Storm,3,13.07
65711,School,Lighting,3,3.73
53767,Office Building,Mech. Pipe,3,5.33
53767,Office Building,Lighting,3,4.27
17895,College / University,Sanitary & Storm,3,3.20
76978,Warehouse / Supermarket,Power,3,4.80
76978,Warehouse / Supermarket,Fire Alarm,3,1.07
40500,Government,Lighting,3,2.40
80000,School,Mech. Pipe,3,6.67
61000,School,Sanitary & Storm,3,8.27
18066,Parking,Fire Alarm,3,0.80
45213,College / University,Mech. Duct,3,8.00
45213,College / University,Domestic water,3,4.00
179000,School,Telecomm,3,4.80
44840,College / University,Mech. Duct,3,8.00
36000,Hotel,Power,3,5.07
33000,College / University,AV /Wireless,3,0.53
129000,School,Sanitary & Storm,3,14.99
141936,School,Lighting,3,6.40
95000,Industrial,Mech. Duct,3,18.13
260000,Industrial,Lighting,3,8.00
535000,Industrial,Lighting,3,14.93
21456,Residential,Mech. Duct,3,10.67
25878,Government,Power,3,4.00
36000,Residential,Lighting,3,5.07
36000,Residential,Lighting,3,4.80
40000,Office Building,Sanitary & Storm,3,7.47
40000,Office Building,Power,3,6.40
12490,Other Educational,Domestic water,3,4.80
95800,School,Lighting,3,4.80
81544,College / University,Sanitary & Storm,3,9.60
73000,Government,Power,3,7.47
99000,School,Mech. Duct,3,14.40
99000,School,Mech. Pipe,3,7.47
99000,School,Sanitary & Storm,3,11.73
99000,School,Lighting,3,5.07
68991,Other Commercial,Mech. Duct,3,8.27
38000,Residential,Power,3,9.07
520000,Residential,Power,3,20.27
85400,Residential,Telecomm,3,4.80
13000,Government,Telecomm,3,1.07
13000,Industrial,Power,3,2.00
88000,Government,Lighting,3,4.80
130150,Industrial,Sanitary & Storm,3,14.93
83774,School,Lighting,3,4.27
215000,Government,Mech. Pipe,3,12.80
158000,School,Sanitary & Storm,3,17.07
35000,Industrial,Power,3,4.27
35000,Industrial,Fire Alarm,3,1.07
110800,School,Sanitary & Storm,3,12.80
110800,School,Lighting,3,5.33
39600,Warehouse / Supermarket,Mech. Duct,3,6.93
39600,Warehouse / Supermarket,Lighting,3,1.87
39600,Warehouse / Supermarket,Power,3,4.80
44000,Warehouse / Supermarket,Fire Alarm,3,1.07
56900,Hotel,Power,3,5.87
60000,Warehouse / Supermarket,Fire Alarm,3,1.07
35000,Government,Fire Alarm,3,1.07
267000,School,Fire Alarm,3,4.27
143670,Healthcare,Sanitary & Storm,3,25.60
208833,Office Building,Power,3,8.53
47000,Healthcare,Mech. Pipe,3,4.80
33000,School,Mech. Pipe,3,3.73
33000,School,Lighting,3,2.67
842043,Warehouse / Supermarket,Mech. Duct,3,10.67
65000,School,Mech. Duct,3,12.00
61800,Other Commercial,Lighting,3,3.47
45131,Healthcare,Sanitary & Storm,3,7.47
22174,School,Mech. Pipe,3,3.20
28700,Warehouse / Supermarket,Fire Alarm,3,1.07
245000,School,Domestic water,3,16.00
342000,School,Mech. Pipe,3,21.33
342000,School,Domestic water,3,21.33
342000,School,Lighting,3,12.80
342000,School,Fire Alarm,3,5.33
685551,Office Building,Domestic water,3,12.80
685551,Office Building,Lighting,3,8.27
685551,Office Building,Power,3,14.93
134972,College / University,Mech. Duct,3,21.33
134972,College / University,Fire Alarm,3,2.13
13761,Government,AV /Wireless,3,1.07
15000,Other Commercial,Mech. Pipe,3,4.37
25260,Military,Power,3,5.87
87410,School,Mech. Pipe,3,6.93
45000,College / University,Domestic water,3,4.00
45000,College / University,Power,3,5.87
450000,Industrial,Mech. Pipe,3,21.33
87075,Government,Mech. Pipe,3,6.40
87075,Government,Power,3,8.53
25000,Government,Sanitary & Storm,3,6.13
25000,Government,Domestic water,3,4.27
18300,Office Building,Mech. Duct,3,8.64
18300,Office Building,Sanitary & Storm,3,6.67
25700,Healthcare,Domestic water,3,3.47
154000,School,Lighting,3,6.67
60827,School,Domestic water,3,6.40
154000,School,Lighting,3,6.67
6000,Industrial,Lighting,3,1.60
178000,School,Domestic water,3.5,13.69
178000,School,AV /Wireless,3.5,2.37
17500,College / University,Domestic water,3.5,2.11
44000,School,Mech. Duct,3.5,11.06
44000,School,Domestic water,3.5,5.79
44000,School,Lighting,3.5,3.16
120000,Healthcare,Lighting,3.5,4.74
280000,Warehouse / Supermarket,Mech. Duct,3.5,8.42
145850,School,Mech. Duct,3.5,20.01
103783,School,Power,3.5,8.95
138309,Healthcare,Telecomm,3.5,6.32
65000,Military,Sanitary & Storm,3.5,8.42
88059,School,Mech. Duct,3.5,14.22
44500,School,Lighting,3.5,3.16
252000,School,Sanitary & Storm,3.5,26.33
252000,School,Lighting,3.5,10.53
252000,School,Fire Alarm,3.5,4.21
66792,Residential,Domestic water,3.5,10.00
128000,School,Mech. Duct,3.5,18.43
33111,Other Educational,Lighting,3.5,2.63
12500,Government,Mech. Duct,3.5,5.79
73580,School,Mech. Pipe,3.5,6.48
57630,Warehouse / Supermarket,Mech. Duct,3.5,7.37
57630,Warehouse / Supermarket,Mech. Pipe,3.5,5.27
57630,Warehouse / Supermarket,Fire Alarm,3.5,1.18
45213,College / University,Sanitary & Storm,3.5,6.58
45213,College / University,Power,3.5,6.32
44840,College / University,Mech. Pipe,3.5,5.00
36000,Government,Lighting,3.5,2.37
722000,Residential,Telecomm,3.5,5.27
24442,Residential,Mech. Pipe,3.5,4.21
26000,School,Mech. Duct,3.5,9.74
26000,School,Mech. Pipe,3.5,3.69
141936,School,Domestic water,3.5,11.58
90000,School,Lighting,3.5,4.74
401870,Residential,Power,3.5,17.64
67000,School,Sanitary & Storm,3.5,9.48
186000,Residential,Mech. Pipe,3.5,10.00
130500,Warehouse / Supermarket,Telecomm,3.5,2.63
36000,Residential,Mech. Duct,3.5,12.11
86300,Hotel,Mech. Pipe,3.5,7.90
86300,Hotel,Lighting,3.5,5.79
115000,College / University,Fire Alarm,3.5,2.00
150000,Healthcare,Telecomm,3.5,6.84
110000,College / University,Lighting,3.5,3.69
110000,College / University,Telecomm,3.5,3.42
730000,Residential,Power,3.5,25.27
95000,Government,Power,3.5,9.48
47000,Other Commercial,Telecomm,3.5,3.16
81544,College / University,Power,3.5,7.90
54000,Industrial,Mech. Duct,3.5,15.27
54000,Industrial,Mech. Pipe,3.5,13.16
175000,Industrial,Mech. Pipe,3.5,15.80
175000,Industrial,Lighting,3.5,6.32
83300,Healthcare,Telecomm,3.5,4.21
49237,Healthcare,Mech. Pipe,3.5,5.27
95007,School,Domestic water,3.5,8.95
95007,School,AV /Wireless,3.5,1.84
85400,Residential,Sanitary & Storm,3.5,15.90
85400,Residential,AV /Wireless,3.5,2.37
41000,College / University,Mech. Pipe,3.5,4.74
215000,Government,Mech. Duct,3.5,17.90
215000,Government,Power,3.5,18.95
158000,School,Telecomm,3.5,4.74
78000,School,Mech. Duct,3.5,14.22
29743,Healthcare,Lighting,3.5,3.69
29743,Healthcare,Power,3.5,8.42
117527,School,Lighting,3.5,6.05
31200,Residential,Mech. Pipe,3.5,4.34
39600,Warehouse / Supermarket,Sanitary & Storm,3.5,6.05
23900,Healthcare,Lighting,3.5,3.69
544672,School,Domestic water,3.5,33.70
544672,School,Lighting,3.5,20.80
186000,Residential,Telecomm,3.5,5.27
283285,Residential,Fire Alarm,3.5,4.74
81900,School,Lighting,3.5,4.48
35000,Government,Sanitary & Storm,3.5,6.84
267000,School,Mech. Pipe,3.5,18.69
267000,School,Lighting,3.5,11.58
710197,Hotel,Power,3.5,31.59
17300,Government,Sanitary & Storm,3.5,6.45
17300,Government,Power,3.5,3.55
544672,School,Lighting,3.5,20.80
41900,Warehouse / Supermarket,Mech. Duct,3.5,7.48
124000,School,Domestic water,3.5,10.79
20000,Residential,Sanitary & Storm,3.5,12.64
140500,Office Building,Fire Alarm,3.5,2.11
219939,School,Sanitary & Storm,3.5,24.22
219939,School,Domestic water,3.5,16.32
66500,Hotel,Mech. Duct,3.5,11.69
66500,Hotel,Sanitary & Storm,3.5,12.90
634000,Residential,Sanitary & Storm,3.5,38.96
182000,College / University,Sanitary & Storm,3.5,22.11
181000,Healthcare,Domestic water,3.5,21.59
245000,School,Mech. Duct,3.5,27.38
685551,Office Building,Mech. Duct,3.5,16.32
15000,Transport,Power,3.5,2.63
14000,Office Building,Power,3.5,6.32
25260,Military,Sanitary & Storm,3.5,6.32
91476,Healthcare,Power,3.5,10.27
87410,School,Power,3.5,8.16
69500,School,Domestic water,3.5,7.37
136207,School,Lighting,3.5,6.58
87075,Government,Telecomm,3.5,4.21
25700,Healthcare,Mech. Pipe,3.5,3.16
154000,School,Mech. Duct,3.5,19.74
154000,School,Mech. Duct,3.5,19.74
69650,Healthcare,Mech. Duct,3.5,14.16
69650,Healthcare,Mech. Pipe,3.5,6.74
69650,Healthcare,Sanitary & Storm,3.5,12.79
121000,School,Fire Alarm,3.5,2.11
92660,Residential,Lighting,4,6.24
114000,School,Mech. Pipe,4,9.36
75000,Hotel,Telecomm,4,2.86
105000,Military,Sanitary & Storm,4,11.69
77985,College / University,Mech. Pipe,4,8.84
64500,Office Building,Mech. Duct,4,10.40
120000,Healthcare,Domestic water,4,15.59
280000,Warehouse / Supermarket,Domestic water,4,5.20
33768,Industrial,Lighting,4,2.60
343900,Healthcare,Sanitary & Storm,4,67.57
66980,College / University,Sanitary & Storm,4,9.10
88059,School,Sanitary & Storm,4,11.95
88059,School,Lighting,4,5.20
50621,School,Mech. Duct,4,11.95
701572,Warehouse / Supermarket,Mech. Duct,4,10.91
120200,Hotel,Mech. Duct,4,16.37
265000,Parking,Lighting,4,4.68
246096,School,Power,4,14.81
66792,Residential,Lighting,4,6.24
107000,School,Lighting,4,5.72
78500,School,Domestic water,4,8.32
78500,School,Power,4,8.32
126673,School,Lighting,4,6.76
40000,College / University,Power,4,6.76
128000,School,Mech. Pipe,4,10.40
128000,School,Power,4,10.40
100000,School,Mech. Pipe,4,8.84
100000,School,Power,4,9.36
96000,Healthcare,Sanitary & Storm,4,18.14
96000,Healthcare,Medical Gas,4,4.81
36127,Healthcare,Power,4,9.36
57630,Warehouse / Supermarket,Lighting,4,2.08
81544,College / University,Sanitary & Storm,4,11.43
81544,College / University,Fire Alarm,4,1.56
179000,School,Mech. Duct,4,23.39
44840,College / University,Sanitary & Storm,4,6.76
129000,School,Mech. Duct,4,19.49
246810,School,Telecomm,4,6.24
722000,Residential,Power,4,26.77
141936,School,Mech. Duct,4,19.75
141936,School,Sanitary & Storm,4,18.19
35000,Healthcare,Power,4,9.36
15552,Healthcare,Mech. Pipe,4,2.60
130500,Warehouse / Supermarket,Medical Gas,4,1.56
36000,Residential,Mech. Pipe,4,4.94
143516,Residential,Lighting,4,7.48
28301,College / University,Mech. Pipe,4,3.64
12490,Other Educational,Power,4,4.68
110982,School,Domestic water,4,10.40
95800,School,Mech. Duct,4,16.11
47000,Other Commercial,Power,4,7.02
20679,Industrial,Fire Alarm,4,1.04
88730,School,Lighting,4,5.20
83300,Healthcare,Medical Gas,4,4.16
95007,School,Lighting,4,5.46
55000,School,Mech. Duct,4,12.99
55000,School,Lighting,4,3.90
145000,School,Mech. Pipe,4,11.95
145000,School,Domestic water,4,11.95
88000,Government,Power,4,9.88
41000,College / University,Power,4,6.76
215000,Government,Sanitary & Storm,4,15.59
31200,Residential,Domestic water,4,9.10
44000,Warehouse / Supermarket,Lighting,4,2.08
44000,Warehouse / Supermarket,Telecomm,4,2.08
115000,School,AV /Wireless,4,2.08
72000,Warehouse / Supermarket,Power,4,5.20
40206,Industrial,Sanitary & Storm,4,3.64
544672,School,Mech. Duct,4,54.57
544672,School,Sanitary & Storm,4,59.25
186000,Residential,Power,4,13.77
32500,Healthcare,Mech. Duct,4,6.50
131794,Government,Mech. Duct,4,14.03
131794,Government,Sanitary & Storm,4,11.43
132677,School,Telecomm,4,4.68
131794,Government,Mech. Duct,4,14.03
131794,Government,Sanitary & Storm,4,11.43
131794,Government,Mech. Duct,4,14.03
131794,Government,Sanitary & Storm,4,11.43
131794,Government,Mech. Duct,4,14.03
131794,Government,Sanitary & Storm,4,11.43
